ref,region,regular,icu,cases_influenza_regular,cases_influenza_icu,cases_other_regular,cases_other_icu,mechanical_ventilators,children,adults,elderly,population
110001,Alta Floresta D'Oeste,43,0,4,0,13,0,0,6752,15169,2060,23981
110002,Ariquemes,133,7,8,1,36,7,40,28472,59138,6256,93866
110003,Cabixi,9,0,1,0,2,0,0,1554,3811,628,5993
110004,Cacoal,287,27,13,4,161,18,55,22589,51471,6538,80598
110005,Cerejeiras,40,0,3,0,7,0,0,4664,10663,1664,16991
110006,Colorado do Oeste,49,0,1,0,7,0,1,4538,11436,1986,17960
110007,Corumbiara,16,0,0,0,0,0,0,2363,5419,708,8490
110008,Costa Marques,45,0,1,0,2,0,0,4735,8314,885,13934
110009,Espigão D'Oeste,36,0,3,0,16,0,3,8500,18462,2332,29294
110010,Guajará-Mirim,88,0,7,0,19,0,3,14527,24816,3122,42465
110011,Jaru,100,0,7,0,18,0,2,15018,32748,4232,51998
110012,Ji-Paraná,161,6,7,1,62,4,22,33795,76727,8979,119501
110013,Machadinho D'Oeste,48,0,2,0,11,0,1,9598,19740,2188,31526
110014,Nova Brasilândia D'Oeste,44,0,1,0,4,0,0,5462,12496,1707,19665
110015,Ouro Preto do Oeste,45,0,3,0,8,0,9,10749,23853,3327,37929
110018,Pimenta Bueno,46,0,2,0,12,0,1,10070,21972,2602,34644
110020,Porto Velho,1245,163,39,18,703,120,230,136904,291706,24952,453562
110025,Presidente Médici,45,0,2,0,8,0,0,5548,13621,2281,21450
110026,Rio Crespo,9,0,1,0,1,0,0,901,2040,317,3258
110028,Rolim de Moura,78,0,2,0,12,0,1,14779,33038,4198,52015
110029,Santa Luzia D'Oeste,25,0,3,0,5,0,0,2129,5407,820,8356
110030,Vilhena,187,10,10,2,78,6,15,23608,51589,5474,80671
110032,São Miguel do Guaporé,44,0,1,0,5,0,0,6689,13559,1562,21810
110033,Nova Mamoré,20,0,1,0,7,0,0,7932,14117,1439,23488
110034,Alvorada D'Oeste,35,0,1,0,2,0,0,4181,10203,1471,15855
110037,Alto Alegre dos Parecis,16,0,1,0,3,0,0,3589,7817,964,12370
110040,Alto Paraíso,16,0,1,0,3,0,1,5120,10722,1356,17198
110045,Buritis,32,0,2,0,6,0,8,10715,20582,2029,33326
110050,Novo Horizonte do Oeste,18,0,1,0,2,0,0,2457,6190,970,9617
110060,Cacaulândia,26,0,1,0,1,0,0,1581,3489,504,5574
110070,Campo Novo de Rondônia,19,0,1,0,2,0,0,3787,7808,768,12363
110080,Candeias do Jamari,15,0,0,0,0,0,0,6709,12445,1390,20544
110090,Castanheiras,7,0,0,0,0,0,0,965,2116,398,3479
110092,Chupinguaia,10,0,0,0,0,0,0,2822,5401,497,8720
110094,Cujubim,11,0,1,0,2,0,0,5118,10453,854,16425
110100,Governador Jorge Teixeira,21,0,0,0,0,0,1,2773,6105,883,9761
110110,Itapuã do Oeste,20,0,0,0,0,0,0,2507,5196,670,8373
110120,Ministro Andreazza,16,0,1,0,1,0,0,2608,6209,871,9688
110130,Mirante da Serra,25,0,1,0,2,0,0,3270,7054,1101,11425
110140,Monte Negro,40,0,1,0,3,0,0,4339,8504,1178,14021
110143,Nova União,15,0,1,0,1,0,1,2045,4535,595,7175
110145,Parecis,8,0,1,0,1,0,0,1277,3076,358,4711
110146,Pimenteiras do Oeste,9,0,1,0,1,0,1,758,1347,187,2292
110148,São Felipe D'Oeste,7,0,0,0,0,0,0,1421,3668,619,5708
110149,São Francisco do Guaporé,29,0,2,0,8,0,1,5447,10119,1076,16642
110150,Seringueiras,36,0,1,0,2,0,1,3519,7151,788,11458
110155,Teixeirópolis,9,0,1,0,1,0,1,1308,2916,533,4757
110160,Theobroma,13,0,1,0,1,0,0,2889,6429,910,10228
110170,Urupá,25,0,1,0,2,0,0,3236,7874,1172,12282
110175,Vale do Anari,12,0,1,0,1,0,0,2549,5810,790,9149
110180,Vale do Paraíso,16,0,1,0,1,0,1,2093,4961,716,7770
120001,Acrelândia,16,0,1,0,1,0,0,4555,7365,886,12806
120005,Assis Brasil,12,0,1,0,1,0,0,2921,3501,392,6814
120010,Brasiléia,34,0,3,0,15,0,0,8283,12989,1671,22943
120020,Cruzeiro do Sul,161,0,6,0,91,0,9,30288,44185,5122,79595
120030,Feijó,41,0,1,0,2,0,0,13774,16480,1844,32098
120032,Jordão,10,0,0,0,0,0,0,3807,3129,188,7124
120033,Mâncio Lima,25,0,1,0,1,0,0,6406,8401,946,15753
120034,Manoel Urbano,26,0,1,0,3,0,0,3760,4256,461,8477
120035,Marechal Thaumaturgo,13,0,1,0,1,0,0,7078,7057,515,14650
120038,Plácido de Castro,52,0,2,0,5,0,0,6125,9710,1386,17221
120039,Porto Walter,14,0,1,0,1,0,0,4584,4362,337,9283
120040,Rio Branco,737,59,26,3,344,34,106,111787,217019,22413,351219
120042,Rodrigues Alves,16,0,1,0,1,0,0,6610,7583,737,14930
120043,Santa Rosa do Purus,16,0,1,0,1,0,0,2502,2433,178,5113
120045,Senador Guiomard,30,0,2,0,3,0,0,7360,11772,1630,20762
120050,Sena Madureira,54,0,4,0,17,0,0,14328,22139,2598,39065
120060,Tarauacá,42,0,4,0,12,0,0,17232,18210,2091,37533
120070,Xapuri,30,0,2,0,5,0,1,5805,9277,1378,16460
130002,Alvarães,22,0,2,0,7,0,0,6022,6922,691,13635
130006,Amaturá,30,0,1,0,4,0,0,4096,5203,501,9800
130008,Anamã,20,0,1,0,3,0,0,3974,5753,626,10353
130010,Anori,23,0,1,0,5,0,0,5901,9118,1000,16019
130014,Apuí,42,0,1,0,10,0,1,5296,11522,998,17816
130020,Atalaia do Norte,30,0,1,0,4,0,0,6238,8606,665,15509
130030,Autazes,31,0,1,0,4,0,1,14301,16974,2359,33634
130040,Barcelos,30,0,1,0,5,0,0,9113,14963,1525,25601
130050,Barreirinha,31,0,1,0,5,0,0,12953,13233,1867,28053
130060,Benjamin Constant,34,0,2,0,13,0,0,15145,17816,1997,34958
130063,Beruri,13,0,1,0,3,0,0,7650,7649,938,16237
130068,Boa Vista do Ramos,22,0,1,0,5,0,0,6324,7882,882,15088
130070,Boca do Acre,61,0,2,0,12,0,0,12102,16983,2234,31319
130080,Borba,38,0,2,0,14,0,0,13682,18510,2265,34457
130083,Caapiranga,18,0,1,0,3,0,0,4049,6024,642,10715
130090,Canutama,16,0,1,0,4,0,0,4399,8169,905,13473
130100,Carauari,50,0,1,0,9,0,1,11125,13264,1452,25841
130110,Careiro,20,0,1,0,5,0,0,11090,18503,2135,31728
130120,Coari,101,0,8,0,37,0,3,29697,42672,4068,76437
130130,Codajás,47,0,1,0,7,0,0,8668,13133,1355,23156
130140,Eirunepé,80,0,2,0,14,0,0,13224,16134,1750,31108
130150,Envira,24,0,1,0,7,0,0,6991,8638,822,16451
130160,Fonte Boa,58,0,2,0,10,0,0,9607,11905,1328,22840
130165,Guajará,20,0,1,0,3,0,0,5999,7266,678,13943
130170,Humaitá,38,0,3,0,13,0,1,17495,25586,2914,45995
130180,Ipixuna,26,0,1,0,6,0,0,8564,11383,1035,20982
130185,Iranduba,32,0,1,0,3,0,0,15672,22715,2991,41378
130190,Itacoatiara,108,0,6,0,31,0,0,33908,48799,6492,89199
130195,Itamarati,15,0,0,0,0,0,0,3853,4075,350,8278
