IBGE,LEITO.SUS_CIRÚRGICOS,LEITO.SUS_CLÍNICOS,LEITO.SUS_GINECO-OBSTÉTRICOS,LEITO.SUS_ISOLAMENTO,LEITO.SUS_OUTRAS ESPECIALIDADES (EXCETO COMPLEMENTARES),LEITO.SUS_PEDIÁTRICOS,LEITO.SUS_UCI,LEITO.SUS_UTI,EXSITENTE_CIRÚRGICOS,EXSITENTE_CLÍNICOS,EXSITENTE_GINECO-OBSTÉTRICOS,EXSITENTE_ISOLAMENTO,EXSITENTE_OUTRAS ESPECIALIDADES (EXCETO COMPLEMENTARES),EXSITENTE_PEDIÁTRICOS,EXSITENTE_UCI,EXSITENTE_UTI,Médico,Enfermeiro,Odontólogo,Out Prof Saude Sup,Tec Aux Enfermagem,Agente Combate Endemias,Out Tec Saude,QT_USO_Respirador/ventilador,QT_USO_Tomógrafo,QT_EXIST_Respirador/ventilador,QT_EXIST_Tomógrafo,30 dias-adulto_inf,30 dias-adulto_sup,30 dias-pediatrico_inf,30 dias-pediatrico_sup,30 dias-idoso_inf,30 dias-idoso_sup,30 dias-adulto_inf_uti,30 dias-adulto_sup_uti,30 dias-pediatrico_inf_uti,30 dias-pediatrico_sup_uti,30 dias-idoso_inf_uti,30 dias-idoso_sup_uti,60 dias-adulto_inf,60 dias-adulto_sup,60 dias-pediatrico_inf,60 dias-pediatrico_sup,60 dias-idoso_inf,60 dias-idoso_sup,60 dias-adulto_inf_uti,60 dias-adulto_sup_uti,60 dias-pediatrico_inf_uti,60 dias-pediatrico_sup_uti,60 dias-idoso_inf_uti,60 dias-idoso_sup_uti,90 dias-adulto_inf,90 dias-adulto_sup,90 dias-pediatrico_inf,90 dias-pediatrico_sup,90 dias-idoso_inf,90 dias-idoso_sup,90 dias-adulto_inf_uti,90 dias-adulto_sup_uti,90 dias-pediatrico_inf_uti,90 dias-pediatrico_sup_uti,90 dias-idoso_inf_uti,90 dias-idoso_sup_uti,Influenza -Leitos regulares Total_diarias,Influenza -Leitos regulares diarias_uti,Influenza -Leitos regulares diarias_uci,Influenza -UTI adulto Total_diarias,Influenza -UTI adulto diarias_uti,Influenza -UTI adulto diarias_uci,Influenza -UTI infantil-neonatal Total_diarias,Influenza -UTI infantil-neonatal diarias_uti,Influenza -UTI infantil-neonatal diarias_uci,Outras causas -Leitos regulares Total_diarias,Outras causas -Leitos regulares diarias_uti,Outras causas -Leitos regulares diarias_uci,Outras causas -UTI adulto Total_diarias,Outras causas -UTI adulto diarias_uti,Outras causas -UTI adulto diarias_uci,Outras causas -UTI infantil-neonatal Total_diarias,Outras causas -UTI infantil-neonatal diarias_uti,Outras causas -UTI infantil-neonatal diarias_uci
110001,6,21,8,2,0,8,0,0,7,24,9,2,0,9,0,0,"10,65","4,25",0,"6,75","33,35",0,"9,2",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090,0,0,0,0,0,0,0,0,4478,0,0,0,0,0,0,0,0
110002,27,40,27,2,4,35,0,7,59,66,45,2,4,47,5,29,"87,325","45,6","0,25","10,875","112,875",0,"5,5",40,2,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2787,0,0,18,291,0,0,0,0,12779,0,0,145,2235,0,0,0,0
110003,0,4,2,0,1,2,0,0,0,4,2,0,1,2,0,0,"3,8",5,0,"5,875",23,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,0,0,0,0,0,0,0,0,689,0,0,0,0,0,0,0,0
110004,113,92,22,0,0,60,0,27,132,120,42,0,0,65,0,37,"231,55","153,3","17,525","98,075","457,025",3,"27,6",55,2,56,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4606,0,0,570,815,0,238,241,0,57664,2,0,7319,4621,0,849,1146,0
110005,5,20,8,2,0,7,0,0,5,20,8,2,0,7,0,0,"6,15","6,5",0,"4,2","37,5",0,"7,2",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0
110006,7,23,7,0,0,12,0,0,7,23,7,0,0,12,0,0,"2,75","5,6",0,"7,85","41,4",1,"6,7",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0,0,0,0,0,0,0,0,2323,0,0,0,0,0,0,0,0
110007,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,6,0,1,12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110008,4,30,4,0,0,7,0,0,4,30,4,0,0,7,0,0,"3,6","4,5",1,4,"20,25","1,4",3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0
110009,6,15,7,1,0,8,0,0,10,26,9,1,0,9,0,0,"22,125","10,1",0,"10,5","44,6",0,"4,9",3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924,0,0,0,0,0,0,0,0,5560,0,0,0,0,0,0,0,0
110010,4,29,23,0,0,32,0,0,4,35,26,0,0,32,0,0,"27,025","19,2",0,"13,75","72,8",6,"9,2",3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499,0,0,0,0,0,0,0,0,6821,0,0,0,0,0,0,0,0
110011,6,49,25,0,0,20,0,0,8,50,27,0,0,20,0,0,"32,05",19,0,"4,75",63,1,7,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2267,0,0,0,0,0,0,0,0,6238,0,0,0,0,0,0,0,0
110012,38,62,37,0,0,24,0,6,59,71,74,2,15,40,0,10,"84,075",51,1,19,"243,55",8,"13,6",22,1,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304,0,0,11,145,0,0,0,0,22009,0,0,97,1046,0,0,0,0
110013,5,15,15,0,7,6,0,0,5,15,15,0,7,6,0,0,"5,75",8,0,"7,5",45,1,"7,6",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,0,0,0,0,0,0,0,0,3847,0,0,0,0,0,0,0,0
110014,5,25,8,0,0,6,0,0,5,25,8,0,0,6,0,0,"6,85","5,75",0,4,36,3,"6,8",0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,0,0,0,0,0,0,0,0,1301,0,0,0,0,0,0,0,0
110015,10,20,5,1,0,10,0,0,21,31,19,2,0,16,0,0,"29,75",4,0,"2,6","30,85",0,6,9,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067,0,0,0,0,0,0,0,0,2879,0,0,0,0,0,0,0,0
110018,5,16,12,0,0,13,0,0,5,16,24,0,0,13,0,0,"17,425",9,0,"6,125","62,05","1,75","6,8",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,0,0,0,0,0,0,0,0,4252,0,0,0,0,0,0,0,0
110020,328,534,149,7,103,131,47,163,428,720,232,10,108,180,60,245,"1023,2","610,6","15,775","446,825","2221,4",17,"143,475",230,7,272,8,10,30,1,2,35,115,1,4,0,0,5,16,241,1805,19,143,838,4044,33,248,3,20,115,556,1973,1899,158,144,3131,1174,271,261,22,20,430,161,13990,0,0,879,5165,0,14,592,0,253059,22,5599,22618,27774,0,747,11356,4105
110025,10,22,8,0,0,5,0,0,10,22,8,0,0,5,0,0,"4,75","12,6",0,3,"38,5",1,"5,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,0,0,0,0,0,0,0,0,2550,0,0,0,0,0,0,0,0
110026,0,7,1,0,0,1,0,0,0,7,1,0,0,1,0,0,4,1,0,"1,6",8,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0
110028,5,37,21,4,3,12,0,0,6,44,27,4,3,14,0,0,"26,25","22,5",0,"8,35","83,75",0,9,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,0,0,0,0,0,0,0,0,4227,0,0,0,0,0,0,0,0
110029,3,13,4,0,0,5,0,0,3,13,4,0,0,5,0,0,"4,55",5,0,1,20,0,"5,6",0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,0,0,0,0,0,0,0,0,1504,0,0,0,0,0,0,0,0
110030,45,76,34,3,6,26,6,10,51,81,37,3,8,28,6,10,"59,675","74,5",12,54,"148,5",2,14,15,1,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3318,0,138,319,434,0,0,0,0,27916,1,1262,1663,1694,0,0,0,0
110032,9,18,9,0,0,8,0,0,9,18,9,0,0,8,0,0,"7,6","5,5",0,"11,225","33,9",0,"6,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,0,0,0,0,0,0,0,0,1732,0,0,0,0,0,0,0,0
110033,0,11,3,0,0,6,0,0,0,11,3,0,0,6,0,0,"7,05","6,9",0,"6,8","24,3",0,"14,3",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0,0,0,0,0,0,0,0,2273,0,0,0,0,0,0,0,0
110034,3,16,10,0,0,6,0,0,3,16,10,0,0,6,0,0,"2,3",6,0,"3,5","22,3",0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0
110037,0,8,4,0,0,4,0,0,0,8,4,0,0,4,0,0,"2,75",4,0,"2,75","19,5",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,0,0,0,0,0,0,0,0,787,0,0,0,0,0,0,0,0
110040,0,12,0,0,0,4,0,0,0,12,0,0,0,4,0,0,8,7,0,"5,75","21,25",0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,0,0,0,0,0,0,0,0,786,0,0,0,0,0,0,0,0
110045,8,10,7,0,0,7,0,0,12,13,23,1,1,15,0,0,19,"17,7",0,9,"57,225",3,8,8,1,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,0,0,0,0,0,0,0,0,2006,0,0,0,0,0,0,0,0
110050,0,13,0,0,0,5,0,0,0,13,0,0,0,5,0,0,"1,75",4,0,"2,5",17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,0,0,0,0,0,0,0,0,658,0,0,0,0,0,0,0,0
110060,0,16,3,0,0,7,0,0,0,16,3,0,0,7,0,0,"2,4","0,5",0,2,5,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0
110070,0,12,1,0,0,6,0,0,0,12,1,0,0,6,0,0,"5,5",5,0,4,20,8,"2,5",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0
110080,0,5,5,0,0,5,0,0,0,5,5,0,0,5,0,0,"5,75",7,0,1,8,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110090,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,"5,35","2,5",0,"5,75",10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110092,0,6,4,0,0,0,0,0,0,6,4,0,0,0,0,0,"3,1",4,"0,5",0,15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110094,0,8,0,0,0,3,0,0,0,8,0,0,0,3,0,0,4,"3,75",0,4,20,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0
110100,2,8,7,0,0,4,0,0,2,8,7,0,0,4,0,0,2,"3,5",0,"3,75",12,5,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110110,0,10,3,0,0,7,0,0,0,10,3,0,0,7,0,0,3,5,0,0,10,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110120,0,10,0,0,0,6,0,0,0,10,0,0,0,6,0,0,"3,125",3,0,"0,5",12,0,"0,6",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0
110130,2,14,4,0,0,5,0,0,2,14,4,0,0,5,0,0,"1,2",5,0,2,"9,5",0,"1,6",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,0,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,0
110140,6,12,8,0,0,14,0,0,6,12,8,0,0,14,0,0,"4,6",6,0,"3,65","31,6",0,"7,6",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,0,0,0,0,0,0,0,0,1036,0,0,0,0,0,0,0,0
110143,0,9,3,0,0,3,0,0,0,9,3,0,0,3,0,0,"4,15","4,8",0,"1,75","11,5","0,75","0,625",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0
110145,0,6,0,0,0,2,0,0,0,6,0,0,0,2,0,0,"3,3",1,0,"2,875",13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0
110146,0,5,2,0,0,2,0,0,0,5,2,0,0,2,0,0,1,7,0,"1,75",8,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0
110148,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,"0,9",1,0,2,13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
