Age group,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
00-04,1.08,0.61,0.42,0.27,0.1,0.42,0.73,0.54,0.13,0.22,0.35,0.44,0.34,0.32,0.07
05-09,0.7,2.63,0.39,0.41,0.44,0.07,0.57,0.59,0.21,0.06,0.31,0.17,0.07,0.45,0.15
10-14,0.38,0.54,3.49,0.56,0.25,0.02,0.32,0.82,0.71,0.22,0.2,0.06,0.07,0.18,0.22
15-19,0.09,0.2,0.97,3.88,1.48,0.16,0.34,0.26,0.79,0.6,0.15,0.13,0.0,0.0,0.19
20-24,0.23,0.12,0.33,0.95,2.75,0.35,0.45,0.18,0.24,0.38,0.37,0.33,0.07,0.14,0.07
25-29,0.85,0.41,0.13,0.28,1.04,1.37,0.66,0.46,0.24,0.46,0.69,0.67,0.29,0.09,0.11
30-34,1.2,0.93,0.33,0.16,0.63,0.6,0.95,0.82,0.26,0.54,0.41,0.75,0.59,0.23,0.11
35-39,0.59,0.97,0.75,0.36,0.25,0.47,1.09,0.97,0.58,0.64,0.28,0.46,0.27,0.5,0.3
40-44,0.23,0.57,0.7,0.68,0.29,0.3,0.77,0.85,0.79,0.62,0.44,0.63,0.41,0.41,0.37
45-49,0.19,0.22,0.63,0.67,0.63,0.44,0.32,0.28,0.71,0.82,0.43,0.58,0.41,0.09,0.44
50-54,0.35,0.17,0.16,0.27,0.38,0.37,0.36,0.31,0.26,0.4,0.91,0.87,0.44,0.18,0.41
55-59,0.31,0.22,0.22,0.09,0.21,0.23,0.57,0.15,0.16,0.46,0.61,1.06,0.49,0.27,0.26
60-64,0.22,0.25,0.25,0.05,0.04,0.05,0.27,0.33,0.18,0.1,0.46,0.42,1.22,0.41,0.67
65-69,0.15,0.14,0.09,0.09,0.13,0.05,0.18,0.15,0.16,0.3,0.15,0.19,0.56,0.68,0.37
70+,0.22,0.13,0.24,0.11,0.21,0.09,0.36,0.13,0.68,0.7,0.52,0.52,0.8,1.0,0.93
