Age group,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
00-04,1.41,0.78,0.29,0.17,0.12,0.53,0.65,0.4,0.17,0.19,0.14,0.08,0.31,0.05,0.12
05-09,0.81,2.3,0.71,0.22,0.0,0.3,0.23,0.6,0.32,0.23,0.1,0.07,0.18,0.05,0.0
10-14,0.25,0.93,3.68,0.67,0.16,0.02,0.28,0.48,0.62,0.31,0.03,0.07,0.03,0.08,0.0
15-19,0.16,0.15,0.51,1.59,0.33,0.18,0.03,0.02,0.25,0.38,0.1,0.05,0.03,0.06,0.04
20-24,0.11,0.14,0.08,0.3,1.03,0.54,0.2,0.06,0.08,0.19,0.1,0.05,0.02,0.03,0.0
25-29,0.47,0.23,0.1,0.16,0.47,0.93,0.22,0.23,0.13,0.05,0.2,0.15,0.16,0.06,0.08
30-34,0.68,0.53,0.19,0.1,0.1,0.49,0.68,0.37,0.27,0.22,0.1,0.23,0.18,0.08,0.0
35-39,0.56,0.63,0.42,0.15,0.07,0.12,0.4,0.58,0.2,0.16,0.14,0.13,0.08,0.06,0.15
40-44,0.36,0.66,0.7,0.24,0.05,0.14,0.15,0.24,0.75,0.3,0.24,0.17,0.27,0.14,0.12
45-49,0.26,0.29,0.44,0.41,0.09,0.09,0.2,0.21,0.47,0.45,0.32,0.22,0.08,0.11,0.08
50-54,0.22,0.21,0.22,0.16,0.24,0.26,0.18,0.18,0.32,0.39,0.42,0.43,0.19,0.11,0.15
55-59,0.15,0.13,0.06,0.08,0.07,0.05,0.15,0.1,0.07,0.11,0.27,0.48,0.42,0.14,0.12
60-64,0.34,0.19,0.04,0.06,0.0,0.09,0.22,0.03,0.07,0.06,0.08,0.18,0.73,0.23,0.19
65-69,0.16,0.14,0.05,0.02,0.0,0.02,0.03,0.05,0.08,0.03,0.08,0.07,0.27,0.31,0.5
70+,0.07,0.11,0.12,0.07,0.03,0.0,0.07,0.08,0.2,0.09,0.17,0.05,0.31,0.31,1.15
