Age group,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
00-04,4.68,1.04,0.2,0.11,0.58,0.11,0.88,0.88,0.75,1.08,0.17,0.43,0.43,0.25,0.23
05-09,1.64,9.23,1.25,0.24,0.19,0.24,0.86,0.95,1.0,0.92,1.07,1.12,0.28,0.32,0.33
10-14,0.4,1.84,14.56,1.26,0.43,0.34,0.36,0.39,0.92,0.67,3.15,1.31,1.34,0.18,1.43
15-19,0.19,0.23,2.59,17.53,1.09,0.82,0.56,0.7,1.31,2.22,2.52,0.43,0.83,0.14,0.97
20-24,0.24,0.35,0.65,1.6,4.96,3.42,0.88,0.75,1.19,0.67,0.74,0.8,0.64,0.21,0.37
25-29,0.62,0.54,0.46,0.87,3.04,3.45,1.66,1.52,1.14,1.0,1.24,1.18,1.15,0.61,1.1
30-34,0.97,0.77,0.52,0.53,1.4,2.97,2.54,2.32,1.95,1.77,1.02,1.18,1.45,1.14,0.93
35-39,1.29,1.35,0.95,0.67,1.17,1.55,2.42,3.09,2.05,1.75,1.5,1.31,1.49,1.18,0.57
40-44,1.28,1.62,1.72,1.24,1.11,1.24,1.6,3.18,3.1,1.83,1.72,1.65,1.3,0.89,0.97
45-49,0.73,0.66,1.4,2.01,1.58,1.08,1.02,1.61,1.97,1.58,1.57,1.41,1.55,1.0,1.0
50-54,0.51,0.56,0.84,1.21,1.42,1.0,1.1,1.16,2.02,1.63,1.63,1.39,1.32,0.89,0.77
55-59,0.64,0.43,0.42,0.54,0.89,0.92,0.8,0.82,0.73,1.07,1.69,1.84,1.53,0.71,1.03
60-64,0.47,0.41,0.18,0.26,0.62,0.53,0.8,0.84,0.98,0.55,0.72,1.31,0.94,1.18,0.73
65-69,0.53,0.45,0.37,0.04,0.21,0.26,0.58,0.7,0.51,0.25,0.26,0.84,1.11,1.21,1.27
70+,0.83,0.83,0.71,0.39,0.6,0.79,0.56,0.88,1.07,0.9,0.96,1.57,1.7,1.39,1.27
