Age group,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
00-04,3.47,0.72,0.16,0.09,0.36,0.08,0.68,0.68,0.61,1.07,0.09,0.29,0.34,0.25,0.2
05-09,1.35,6.78,0.95,0.16,0.13,0.16,0.48,0.75,0.54,0.8,0.98,0.45,0.13,0.14,0.33
10-14,0.36,1.09,9.13,0.84,0.25,0.16,0.16,0.27,0.63,0.58,0.78,0.24,0.51,0.14,1.27
15-19,0.13,0.21,1.59,9.34,0.64,0.42,0.1,0.14,1.05,0.65,0.54,0.24,0.23,0.04,0.77
20-24,0.17,0.27,0.41,1.0,3.51,2.29,0.34,0.3,0.59,0.22,0.33,0.43,0.36,0.04,0.3
25-29,0.45,0.3,0.17,0.31,1.75,2.24,0.74,0.36,0.36,0.17,0.52,0.61,0.53,0.32,0.7
30-34,0.69,0.51,0.25,0.2,0.6,1.82,1.38,0.79,0.71,0.52,0.37,0.37,0.74,0.39,0.6
35-39,1.01,1.01,0.59,0.23,0.45,0.89,1.14,1.36,0.78,0.6,0.56,0.55,0.94,0.54,0.4
40-44,0.99,1.11,1.03,0.43,0.64,0.61,0.62,1.3,1.31,0.82,0.54,0.45,0.64,0.39,0.5
45-49,0.49,0.48,0.67,1.03,0.79,0.42,0.58,0.55,0.66,0.83,0.57,0.45,0.87,0.54,0.37
50-54,0.37,0.37,0.38,0.6,0.66,0.45,0.38,0.45,0.58,0.75,0.72,0.49,0.74,0.39,0.3
55-59,0.45,0.34,0.13,0.23,0.49,0.42,0.16,0.36,0.25,0.57,0.61,0.86,0.85,0.25,0.53
60-64,0.41,0.27,0.11,0.04,0.28,0.34,0.26,0.34,0.37,0.23,0.15,0.51,0.4,0.5,0.53
65-69,0.46,0.29,0.25,0.01,0.13,0.18,0.14,0.39,0.15,0.07,0.09,0.39,0.72,0.61,0.83
70+,0.69,0.52,0.56,0.24,0.3,0.45,0.3,0.39,0.59,0.45,0.57,0.59,0.96,0.79,0.8
