Age group,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
00-04,2.34,0.88,0.21,0.19,0.11,0.76,1.48,0.72,0.79,0.61,0.27,0.47,0.52,0.24,0.05
05-09,1.05,8.76,1.71,0.25,0.22,1.24,2.24,1.09,1.16,0.28,1.02,0.44,0.35,0.17,0.2
10-14,0.48,1.76,11.65,1.64,0.43,0.96,1.24,0.62,1.53,0.66,0.54,0.16,0.15,0.07,0.18
15-19,0.18,0.52,2.32,11.78,2.89,1.45,0.7,0.36,1.38,1.87,0.46,1.44,0.28,0.1,0.18
20-24,0.35,0.24,0.37,2.13,3.78,1.8,0.85,0.64,0.66,1.34,0.79,0.57,0.52,0.31,0.13
25-29,0.79,0.78,0.36,0.92,2.31,3.08,2.48,1.14,1.44,1.3,1.52,1.25,0.91,0.69,0.33
30-34,1.3,0.94,0.66,0.78,1.48,2.17,3.48,1.72,2.56,1.81,1.65,1.29,1.4,1.03,0.45
35-39,1.45,1.79,1.14,0.94,1.41,1.9,3.11,2.59,2.72,1.75,1.63,1.03,1.28,1.41,0.5
40-44,0.83,1.29,1.6,1.36,1.19,1.41,2.48,2.36,3.54,1.63,1.9,1.09,1.14,1.17,0.65
45-49,0.37,0.57,1.02,1.36,1.67,1.11,1.48,1.84,2.37,2.46,1.97,1.04,0.8,0.69,0.43
50-54,0.33,0.37,0.43,0.69,1.28,1.38,1.24,1.0,1.37,2.03,2.13,1.06,0.94,0.93,0.35
55-59,0.33,0.33,0.31,0.4,0.52,1.06,0.78,0.74,0.62,0.78,1.19,1.09,0.95,1.07,0.38
60-64,0.4,0.24,0.16,0.13,0.24,0.54,0.28,0.62,0.46,0.46,0.67,0.65,1.12,1.07,0.6
65-69,0.23,0.12,0.21,0.1,0.2,0.27,0.41,0.31,0.5,0.36,0.33,0.43,0.8,1.17,0.58
70+,0.28,0.27,0.29,0.28,0.43,0.58,0.48,0.26,0.72,0.93,1.4,0.64,1.11,0.93,1.75
