Age group,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
00-04,2.375,0.8987499999999999,0.27,0.18125,0.27,0.5037499999999999,0.82375,0.65625,0.6837500000000001,0.3225,0.2425,0.2775,0.32875,0.18749999999999997,0.15875
05-09,1.1975,6.65625,1.1275,0.36500000000000005,0.21875,0.45375,0.92625,0.97125,0.7,0.34625000000000006,0.46875,0.35250000000000004,0.25875000000000004,0.315,0.2175
10-14,0.44875,1.3162500000000001,9.3,1.3724999999999998,0.2875,0.2675,0.6599999999999999,0.75125,0.9112500000000001,0.55625,0.64125,0.37125,0.31000000000000005,0.22125,0.4
15-19,0.26375,0.33,1.6199999999999999,9.05875,1.5662500000000001,0.6237499999999999,0.5387500000000001,0.53,0.9900000000000001,1.225,0.77125,0.49875,0.31125,0.20625,0.42375
20-24,0.38125000000000003,0.27125,0.4,1.45625,3.71375,1.6887500000000002,0.79625,0.7075,1.0225,0.89625,1.0099999999999998,0.6512500000000001,0.4475,0.305,0.24750000000000003
25-29,0.7725000000000001,0.6525,0.38749999999999996,0.67,1.8987500000000002,2.4762500000000003,1.5912499999999998,1.16625,1.00375,1.03875,1.2912499999999998,0.91875,0.7124999999999999,0.5825,0.40375000000000005
30-34,1.1537499999999998,0.9662499999999999,0.5862499999999999,0.52,1.31875,1.65875,2.36625,1.54875,1.3737499999999998,1.18,1.0599999999999998,1.075,1.0075,0.6875,0.4325
35-39,1.03,1.19875,0.9924999999999999,0.8025,0.945,1.2,2.03875,2.4174999999999995,1.5475,1.3387499999999999,1.06875,0.9312500000000001,0.9737500000000001,0.86375,0.5025
40-44,0.6375000000000001,1.1225,1.3112499999999998,0.9949999999999999,0.8550000000000001,0.9950000000000001,1.4875,2.0124999999999997,2.1312499999999996,1.5275,1.2149999999999999,1.1199999999999999,0.9275,0.8600000000000001,0.67625
45-49,0.40625,0.5175,0.84875,1.2000000000000002,1.0675,0.925,1.00625,1.2562499999999999,1.5450000000000002,1.86375,1.34125,1.00125,0.7337500000000001,0.5625,0.7000000000000001
50-54,0.43,0.40625,0.46875,0.6174999999999999,0.87125,1.01875,0.87375,0.98625,1.1424999999999998,1.31,1.4612500000000002,1.23,0.76125,0.59375,0.5325
55-59,0.39625,0.3175,0.26875,0.335,0.47250000000000003,0.66625,0.6325000000000001,0.56,0.45250000000000007,0.6975,1.0775,1.55125,1.06875,0.6537499999999999,0.4675
60-64,0.3325,0.29874999999999996,0.18,0.1575,0.22250000000000003,0.37875000000000003,0.48750000000000004,0.5712499999999999,0.42500000000000004,0.4100000000000001,0.5787500000000001,0.825,1.1212499999999999,0.83375,0.5937500000000001
65-69,0.24250000000000002,0.21374999999999997,0.17625000000000002,0.1275,0.13,0.18875000000000003,0.25875000000000004,0.4125,0.30124999999999996,0.21375,0.24125000000000002,0.47375,0.695,0.90125,0.66125
70+,0.31625000000000003,0.35874999999999996,0.3625,0.25,0.31499999999999995,0.35875,0.37625,0.4375,0.5612499999999999,0.685,0.70875,0.7237500000000001,0.8900000000000001,1.05,1.45
