Age group,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
00-04,1.68125,0.6524999999999999,0.22,0.14125,0.21,0.42375,0.68625,0.49874999999999997,0.5925,0.30375,0.195,0.22875,0.2825,0.17875000000000002,0.1225
05-09,1.0037500000000001,4.211250000000001,0.68375,0.24874999999999997,0.15,0.33375,0.53625,0.715,0.48875,0.27875,0.32,0.22875,0.19624999999999998,0.21250000000000002,0.15000000000000002
10-14,0.345,0.78625,5.227499999999999,0.7749999999999999,0.15125,0.08750000000000001,0.29,0.46375,0.61125,0.37375,0.25125000000000003,0.14125,0.1625,0.1325,0.295
15-19,0.18874999999999997,0.22125,0.9274999999999999,5.015000000000001,0.8674999999999999,0.2625,0.18375,0.20625000000000002,0.61875,0.615,0.265,0.18375,0.11499999999999999,0.095,0.2825
20-24,0.29500000000000004,0.175,0.20125,0.8062499999999999,2.1237500000000002,0.94625,0.32624999999999993,0.23374999999999999,0.38749999999999996,0.39375000000000004,0.34750000000000003,0.2675,0.16375,0.11500000000000002,0.11000000000000001
25-29,0.58625,0.375,0.14625000000000002,0.26375,0.96125,1.42,0.6425000000000001,0.41,0.32499999999999996,0.39375,0.49,0.40499999999999997,0.30124999999999996,0.15625,0.1875
30-34,0.875,0.6525,0.28374999999999995,0.16499999999999998,0.6,0.8324999999999999,1.0474999999999999,0.65125,0.44625,0.44125000000000003,0.36500000000000005,0.41125000000000006,0.43749999999999994,0.23875,0.18875000000000003
35-39,0.79375,0.8387499999999999,0.565,0.31875000000000003,0.3725,0.43999999999999995,0.90125,1.11375,0.59125,0.44875,0.34874999999999995,0.31,0.40125,0.27,0.27375
40-44,0.44375,0.7225,0.7975000000000001,0.46625,0.33375,0.34374999999999994,0.5137499999999999,0.71375,0.9974999999999999,0.6962499999999999,0.45125,0.34874999999999995,0.40125,0.33125000000000004,0.31750000000000006
45-49,0.28500000000000003,0.31125,0.48124999999999996,0.5725,0.5025000000000001,0.33125000000000004,0.35,0.3675,0.64625,0.8300000000000001,0.5449999999999999,0.37375,0.29624999999999996,0.22625,0.355
50-54,0.33625000000000005,0.23875,0.22375,0.325,0.4325,0.4125,0.3075,0.28,0.38875000000000004,0.5375,0.7849999999999999,0.60375,0.3525,0.26,0.26249999999999996
55-59,0.29499999999999993,0.22375,0.1325,0.15499999999999997,0.20375000000000001,0.26875,0.26375,0.21375,0.1625,0.29250000000000004,0.47624999999999995,0.81625,0.5237499999999999,0.34875,0.24000000000000002
60-64,0.28125,0.23499999999999996,0.11875000000000001,0.05625,0.08625000000000001,0.16125,0.19874999999999998,0.22625000000000003,0.19,0.14875000000000002,0.2275,0.34625,0.6974999999999999,0.48624999999999996,0.3325
65-69,0.19875,0.15875,0.1175,0.05500000000000001,0.06625,0.0875,0.13,0.20625,0.14875,0.11499999999999999,0.10499999999999998,0.2025,0.38499999999999995,0.5425000000000001,0.41375000000000006
70+,0.23875000000000002,0.23625000000000002,0.27249999999999996,0.175,0.19625,0.18625000000000003,0.18125000000000002,0.22249999999999998,0.3225,0.39875000000000005,0.42749999999999994,0.30625,0.4675,0.6175,0.8124999999999999
