Age group,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
00-04,1.56,0.94,0.22,0.13,0.33,0.57,0.88,0.69,2.71,0.0,0.0,0.23,0.28,0.12,0.2
05-09,2.41,6.35,0.88,0.19,0.0,0.43,0.13,1.08,1.0,0.64,0.31,0.08,0.17,0.24,0.22
10-14,0.32,0.59,6.22,1.31,0.0,0.0,0.13,0.23,0.43,0.71,0.08,0.15,0.22,0.06,0.17
15-19,0.12,0.24,0.47,5.25,0.25,0.14,0.25,0.08,0.43,0.57,0.15,0.23,0.11,0.0,0.05
20-24,0.12,0.12,0.09,0.63,0.92,0.36,0.13,0.08,0.57,0.43,0.46,0.15,0.06,0.0,0.07
25-29,0.15,0.29,0.06,0.19,0.83,1.21,0.75,0.0,0.29,0.71,0.31,0.0,0.17,0.06,0.1
30-34,0.97,0.47,0.13,0.19,1.92,0.64,1.13,0.38,0.43,0.43,0.23,0.23,0.44,0.06,0.17
35-39,1.0,1.18,0.5,0.25,1.25,0.29,1.25,1.0,0.29,0.57,0.15,0.08,0.39,0.24,0.41
40-44,0.35,1.12,1.06,0.31,0.5,0.07,0.5,0.54,1.0,1.57,0.23,0.23,0.39,0.29,0.27
45-49,0.21,0.24,0.59,0.75,0.42,0.14,0.25,0.23,0.71,0.71,0.38,0.08,0.11,0.12,0.76
50-54,0.41,0.24,0.28,0.63,0.58,0.57,0.13,0.08,0.43,0.43,0.77,0.85,0.33,0.18,0.27
55-59,0.26,0.12,0.16,0.19,0.0,0.14,0.25,0.08,0.0,0.14,0.38,0.92,0.56,0.53,0.22
60-64,0.29,0.41,0.03,0.0,0.0,0.0,0.0,0.08,0.14,0.21,0.15,0.23,0.89,0.71,0.2
65-69,0.24,0.24,0.13,0.0,0.0,0.0,0.13,0.23,0.14,0.0,0.08,0.23,0.17,0.53,0.22
70+,0.09,0.12,0.47,0.5,0.25,0.14,0.0,0.23,0.0,0.43,0.46,0.08,0.28,0.59,0.83
