Age group,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
00-04,1.33,0.57,0.21,0.1,0.21,0.4,0.38,0.23,0.11,0.13,0.31,0.23,0.25,0.2,0.23
05-09,0.83,6.41,1.06,0.29,0.1,0.27,0.74,0.77,0.56,0.16,0.24,0.5,0.27,0.44,0.26
10-14,0.75,1.62,12.71,1.01,0.3,0.25,0.8,0.68,0.69,0.26,0.37,0.42,0.25,0.44,0.34
15-19,0.49,0.41,2.27,12.12,2.13,0.72,0.54,1.29,1.18,1.13,0.94,0.66,0.53,0.6,0.4
20-24,0.69,0.36,0.63,1.69,6.26,2.4,1.16,1.4,1.58,1.44,1.45,1.02,0.66,0.6,0.34
25-29,1.36,0.92,0.84,0.8,2.61,3.43,2.28,2.5,1.81,1.75,1.94,1.37,1.1,1.36,0.26
30-34,1.19,1.42,1.19,0.88,1.59,2.18,2.36,2.68,1.77,1.44,1.61,1.34,1.31,1.4,0.46
35-39,0.85,0.96,1.23,1.06,1.13,1.43,1.64,3.08,1.76,1.33,1.24,1.06,1.02,1.08,0.71
40-44,0.44,0.68,0.96,1.17,1.11,1.37,1.44,1.87,2.47,1.49,1.71,0.98,1.07,1.68,0.74
45-49,0.47,0.59,0.71,0.96,0.98,1.12,1.36,1.52,1.56,2.25,1.74,1.16,0.56,0.92,0.83
50-54,0.57,0.47,0.46,0.51,1.2,1.33,1.11,1.05,1.03,1.56,1.58,1.4,0.56,0.96,0.74
55-59,0.53,0.48,0.28,0.25,0.79,0.77,0.56,0.87,0.68,0.61,0.94,1.95,1.1,0.68,0.54
60-64,0.29,0.32,0.24,0.25,0.34,0.45,0.59,0.58,0.56,0.41,0.52,0.84,1.12,0.48,0.57
65-69,0.26,0.18,0.15,0.2,0.1,0.23,0.18,0.53,0.34,0.31,0.19,0.56,0.64,0.72,0.54
70+,0.28,0.36,0.38,0.23,0.3,0.4,0.3,0.71,0.55,0.67,0.71,0.77,0.64,0.8,1.23
